77, array([ 4.26529461,  0.52037796,  0.08002387]), 14.177465465984207
78, array([ 4.27807684,  0.51957723,  0.07973403]), 14.176395353320736
79, array([ 4.25523627,  0.51715123,  0.08095545]), 14.178369527487897
80, array([ 4.29414897,  0.51934177,  0.07922888]), 14.176192395283723
81, array([ 4.2934532 ,  0.51888283,  0.08026784]), 14.17664697070947
82, array([ 4.28261431,  0.5187764 ,  0.07953906]), 14.176221756508195
83, array([ 4.29740268,  0.51751263,  0.07969997]), 14.176252336322396
84, array([ 4.29257122,  0.51802878,  0.07970848]), 14.176078572660153
85, array([ 4.29950316,  0.51781505,  0.08000788]), 14.176171015589251
86, array([ 4.30435955,  0.51927378,  0.07891378]), 14.176461604292474
87, array([ 4.2909319 ,  0.51795591,  0.08001573]), 14.176045910812089
88, array([ 4.29452189,  0.51652473,  0.08059252]), 14.17640157311515
89, array([ 4.2942422 ,  0.51863751,  0.07956979]), 14.176046287915225
90, array([ 4.28566039,  0.51859975,  0.07952146]), 14.176175847694894
91, array([ 4.29604247,  0.51801123,  0.07988628]), 14.176062783992446
